Tool,File_Path,Filename,Occurrences,Line_Numbers,First_Context_Excerpt
Nessus,/tmp/tmp33tqw8t8/docs/002_23 NYCRR 500.docx,002_23 NYCRR 500.docx,1,12,"...bility scan results from Nessus, Nexpose, Qualys, OpenVA..."
Nessus,/tmp/tmp33tqw8t8/docs/008_Australian ISM.docx,008_Australian ISM.docx,1,11,"...ments, while OnPrem adds Nessus, Nexpose, Qualys, NMAP, ..."
Nessus,/tmp/tmp33tqw8t8/docs/011_BSI IT-GS.docx,011_BSI IT-GS.docx,1,13,"...ity scanner outputs from Nessus, Nexpose, Qualys, and Op..."
Nessus,/tmp/tmp33tqw8t8/docs/012_BSI KritisV.docx,012_BSI KritisV.docx,1,12,"... integrates outputs from Nessus, Nexpose, Qualys, and Op..."
Nessus,/tmp/tmp33tqw8t8/docs/019_CMMC v2.docx,019_CMMC v2.docx,1,12,"... Log360 Cloud integrates Nessus, Qualys, Nexpose, and Op..."
Nessus,/tmp/tmp33tqw8t8/docs/025_China DSL.docx,025_China DSL.docx,1,10,"...m extending coverage via Nessus, Nexpose, and Qualys vul..."
Nessus,/tmp/tmp33tqw8t8/docs/040_HITRUST e1.docx,040_HITRUST e1.docx,1,12,"...ity scanner results from Nessus, Nexpose, Qualys, and Op..."
Nessus,/tmp/tmp33tqw8t8/docs/061_NBFC IT Governance.docx,061_NBFC IT Governance.docx,1,10,"...60 Cloud integrates with Nessus, Nexpose, Qualys, and Op..."
Nessus,/tmp/tmp33tqw8t8/docs/069_NIST SP 800-82.docx,069_NIST SP 800-82.docx,1,13,"... Log360 Cloud integrates Nessus, Nexpose, Qualys, NMAP, ..."
Nessus,/tmp/tmp33tqw8t8/docs/070_NIST SSDF.docx,070_NIST SSDF.docx,1,12,"...60 Cloud integrates with Nessus, Nexpose, Qualys, and Op..."
Nessus,/tmp/tmp33tqw8t8/docs/086_RBI IT Framework.docx,086_RBI IT Framework.docx,1,11,"...s alongside results from Nessus, Nexpose, Qualys, NMAP, ..."
Nessus,/tmp/tmp33tqw8t8/docs/089_SEBI-CSCRF.docx,089_SEBI-CSCRF.docx,1,7,"... Log360 Cloud integrates Nessus, Nexpose, Qualys, OpenVA..."
Nessus,/tmp/tmp33tqw8t8/docs/091_SEPS.docx,091_SEPS.docx,1,11,"...60 Cloud integrates with Nessus, Nexpose, Qualys, and NM..."
Nessus,/tmp/tmp33tqw8t8/docs/094_SWIFT CSCF.docx,094_SWIFT CSCF.docx,1,13,"... Log360 Cloud integrates Nessus, Qualys, Nexpose, and Op..."
Nessus,/tmp/tmp33tqw8t8/docs/095_TPN.docx,095_TPN.docx,1,11,"... while OnPrem integrates Nessus, Nexpose, Qualys, NMAP."
Nexpose,/tmp/tmp33tqw8t8/docs/002_23 NYCRR 500.docx,002_23 NYCRR 500.docx,1,12,"...can results from Nessus, Nexpose, Qualys, OpenVAS, and NM..."
Nexpose,/tmp/tmp33tqw8t8/docs/008_Australian ISM.docx,008_Australian ISM.docx,1,11,"...hile OnPrem adds Nessus, Nexpose, Qualys, NMAP, OpenVAS."
Nexpose,/tmp/tmp33tqw8t8/docs/011_BSI IT-GS.docx,011_BSI IT-GS.docx,1,13,"...ner outputs from Nessus, Nexpose, Qualys, and OpenVAS, an..."
Nexpose,/tmp/tmp33tqw8t8/docs/012_BSI KritisV.docx,012_BSI KritisV.docx,1,12,"...tes outputs from Nessus, Nexpose, Qualys, and OpenVAS sca..."
Nexpose,/tmp/tmp33tqw8t8/docs/019_CMMC v2.docx,019_CMMC v2.docx,1,12,"...tegrates Nessus, Qualys, Nexpose, and OpenVAS scan result..."
Nexpose,/tmp/tmp33tqw8t8/docs/025_China DSL.docx,025_China DSL.docx,1,10,"...ing coverage via Nessus, Nexpose, and Qualys vulnerabilit..."
