Tool,Filename,File_Path,Total_Occurrences,All_Line_Numbers,All_Context_Excerpts
Nessus,002_23 NYCRR 500.docx,/tmp/tmp33tqw8t8/docs/002_23 NYCRR 500.docx,1,12,"1. ...bility scan results from Nessus, Nexpose, Qualys, OpenVA..."
Nessus,008_Australian ISM.docx,/tmp/tmp33tqw8t8/docs/008_Australian ISM.docx,1,11,"1. ...ments, while OnPrem adds Nessus, Nexpose, Qualys, NMAP, ..."
Nessus,011_BSI IT-GS.docx,/tmp/tmp33tqw8t8/docs/011_BSI IT-GS.docx,1,13,"1. ...ity scanner outputs from Nessus, Nexpose, Qualys, and Op..."
Nessus,012_BSI KritisV.docx,/tmp/tmp33tqw8t8/docs/012_BSI KritisV.docx,1,12,"1. ... integrates outputs from Nessus, Nexpose, Qualys, and Op..."
Nessus,019_CMMC v2.docx,/tmp/tmp33tqw8t8/docs/019_CMMC v2.docx,1,12,"1. ... Log360 Cloud integrates Nessus, Qualys, Nexpose, and Op..."
Nessus,025_China DSL.docx,/tmp/tmp33tqw8t8/docs/025_China DSL.docx,1,10,"1. ...m extending coverage via Nessus, Nexpose, and Qualys vul..."
Nessus,040_HITRUST e1.docx,/tmp/tmp33tqw8t8/docs/040_HITRUST e1.docx,1,12,"1. ...ity scanner results from Nessus, Nexpose, Qualys, and Op..."
Nessus,061_NBFC IT Governance.docx,/tmp/tmp33tqw8t8/docs/061_NBFC IT Governance.docx,1,10,"1. ...60 Cloud integrates with Nessus, Nexpose, Qualys, and Op..."
Nessus,069_NIST SP 800-82.docx,/tmp/tmp33tqw8t8/docs/069_NIST SP 800-82.docx,1,13,"1. ... Log360 Cloud integrates Nessus, Nexpose, Qualys, NMAP, ..."
Nessus,070_NIST SSDF.docx,/tmp/tmp33tqw8t8/docs/070_NIST SSDF.docx,1,12,"1. ...60 Cloud integrates with Nessus, Nexpose, Qualys, and Op..."
Nessus,086_RBI IT Framework.docx,/tmp/tmp33tqw8t8/docs/086_RBI IT Framework.docx,1,11,"1. ...s alongside results from Nessus, Nexpose, Qualys, NMAP, ..."
